symbol,shares
1,9052004
A,4013279
AA,7970757
AACG,76682
AAL,43312642
AAME,27518
AAN,1776068
AAOI,3373447
AAON,1523578
AAP,2636967
AAPL,158143049
AAPL22,0
AAPL24,0
AAPL25,0
AAPL25A,0
AAPL26,0
AAPL27,0
AAPL29,0
AAPL29A,0
AAPL31,0
AAPL42,0
AAT,636073
AAWW,2370030
AAXJ,3907702
AAXN,4171120
AB,724384
ABB,6601063
ABBV,12373902
ABC,2534258
ABCB,2885703
ABDC,191462
ABEO,10634471
ABEOW,44562
ABEV,27736900
ABG,301686
ABIL,3211047
ABIO,272772
ABM,814502
ABMD,4933536
ABR,2340878
ABR$A,1275
ABR$B,400
ABR$C,211
ABT,8873035
ABTX,1360997
ABUS,2609142
AC,4839
ACA,509498
ACAD,12670878
ACAM,142204
ACAMU,1091
ACAMW,160044
ACB,31761159
ACBI,830612
ACC,1532680
ACCO,714403
ACEL,354536
ACEL.W,27960
ACER,359810
ACGL,8827021
ACGLO,109694
ACGLP,366832
ACH,59980
ACHC,4933542
ACHN,8807553
ACHV,15225713
ACIA,2275430
ACIU,1414556
ACIW,5300326
ACLS,1804460
ACM,2187156
ACMR,902231
ACN,4403002
ACNB,101958
ACOR,12842904
ACP,112237
ACRE,291295
ACRS,2888318
ACRX,4716207
ACST,19826683
ACT,8543
ACTG,925748
ACTT,1112793
ACTTU,15432
ACTTW,81332
ACV,42710
ACWI,8219095
ACWX,4427263
ADAP,2929825
ADBE,20159247
ADC,854599
ADES,1204876
ADI,16228422
ADIL,684022
ADILW,9987
ADM,6171690
ADMA,3830953
ADMP,3877260
ADMS,5611584
ADNT,2266514
ADP,17044436
ADPT,6364969
ADRA,9800
ADRD,12321
ADRE,29732
ADRO,4320887
ADRU,5611
ADS,2623374
ADSK,10458577
ADSW,1146751
ADT,2306601
ADTN,2271034
ADUS,1395773
ADVM,10267020
ADX,150240
ADXS,37441700
AEB,3862
AEE,4137353
AEFC,76448
AEG,2707920
AEGN,1039048
AEH,15184
AEHR,266304
AEIS,2380264
AEL,1072030
AEL$A,98155
AEM,2398347
AEMD,1892903
AEO,12295956
AEP,5703929
AEP$B,21391
AER,2367116
AERI,6079531
AES,11437230
AESE,210734
AEY,333506
AEYE,98205
AEZS,515417
AFB,43895
AFC,5193
AFG,746436
AFGB,8222
AFGC,47012
AFGE,8833
AFGH,5690
AFH,305482
AFI,236412
AFIN,5434306
AFINP,451803
AFL,7080189
AFMD,6443338
AFT,48151
AFYA,732965
AG,8686513
AGBA,78400
AGBAR,0
AGBAU,1500
AGBAW,20001
AGCO,1438018
AGD,50219
AGEN,6911604
AGFS,293197
AGFSW,85508
AGI,3605545
AGIO,6283809
AGLE,409013
AGM,116020
AGM$A,10
AGM$C,250
AGM$D,1420
AGM.A,281
AGMH,79936
AGN,3603638
AGNC,25721062
AGNCM,166395
AGNCN,88491
AGNCO,281588
AGND,3526
AGO,1739565
AGO$B,854
AGO$E,2725
AGO$F,587
AGR,815798
AGRO,681053
AGRX,6408582
AGS,654485
AGTC,1321088
AGX,335152
AGYS,1170972
AGZD,24005
AHC,42085
AHCO,533687
AHCOW,19022
AHH,767134
AHH$A,425
AHL$C,7764
AHL$D,8287
AHL$E,45710
AHPI,61535
AHT,714284
AHT$D,1677
AHT$F,3886
AHT$G,6852
AHT$H,9030
AHT$I,12510
AI,590397
AI$B,0
AI$C,978
AIA,204574
AIC,1311
AIF,46177
AIG,10332931
AIG$A,7274
AIG.W,101979
AIH,522814
AIHS,1523464
AIMC,2391527
AIMT,5537306
AIN,396043
AINV,3327423
AIO,95774
AIQ,31717
AIR,431332
AIRG,354314
AIRR,18470
AIRT,9595
AIRTP,86592
AIRTW,297012
AIT,405949
AIV,3547617
AIW,1326
AIZ,1232966
AIZP,1090
AJG,1775599
AJRD,894131
AJX,160236
AJXA,8144
AKAM,11485045
AKBA,7997302
AKCA,2539744
AKER,846603
AKO.A,13072
AKO.B,10981
AKR,1108938
AKRO,1294392
AKRX,14569524
AKS,24091043
AKTS,2026615
AKTX,2244786
AL,1261541
AL$A,5264
ALAC,58886
ALACR,157579
ALACU,5974
ALACW,11620
ALB,3652258
ALBO,599527
ALC,2478115
ALCO,205188
ALDX,2164141
ALE,547218
ALEC,3804229
ALEX,612242
ALG,163652
ALGN,5148833
ALGR,320569
ALGRR,30252
ALGRU,5078
ALGRW,245003
ALGT,1090311
ALIM,308051
ALJJ,147304
ALK,2869137
ALKS,10598113
ALL,4097742
ALL$A,14621
ALL$B,31720
ALL$G,20811
ALL$H,161295
ALL$I,102126
ALLE,1454092
ALLK,3837686
ALLO,6518342
ALLT,557762
ALLY,6477043
ALLY$A,109683
ALNA,1420521
ALNY,5356986
ALOT,456435
ALP$Q,5180
ALPN,67125
ALRM,2816801
ALRN,1348700
ALRS,802141
ALSK,474278
ALSN,2143311
ALT,487334
ALTM,2831732
ALTR,2602026
ALTY,35852
ALUS.U,329039
ALV,838884
ALX,28011
ALXN,15390863
ALYA,107706
AM,15462450
AMAG,4381559
AMAL,578100
AMAT,46158390
AMBA,4260905
AMBC,2138455
AMBCW,43450
AMC,5915929
AMCA,2555
AMCI,165577
AMCIU,2022
AMCIW,131700
AMCR,8132525
AMCX,5288714
AMD,203954273
AME,2375980
AMED,2001881
AMEH,1468940
AMG,2331867
AMGN,17764327
AMH,3160854
AMH$D,10978
AMH$E,3589
AMH$F,1802
AMH$G,22841
AMH$H,1777
AMHCU,314102
AMK,308317
AMKR,6382831
AMN,443598
AMNB,152985
AMOT,235871
AMOV,4946
AMP,2640650
AMPH,2508972
AMPY,500863
AMRB,43406
AMRC,190650
AMRH,449504
AMRHW,1317
AMRK,73730
AMRN,42090623
AMRS,8062864
AMRX,11260711
AMSC,1453273
AMSF,802667
AMSWA,643568
AMT,4347741
AMTB,593225
AMTBB,48716
AMTD,25677729
AMTX,147825
AMWD,1201477
AMX,6397291
AMZN,18749205
AN,1333256
ANAB,5490227
ANAT,303196
ANCN,120053
ANDA,52421
ANDAR,12400
ANDAU,994
ANDAW,3000
ANDE,2063072
ANET,2178560
ANF,5514694
ANFI,118176
ANGI,10402206
ANGL,340616
ANGO,2466157
ANH,813875
ANH$A,3305
ANH$B,100
ANH$C,979
ANIK,1452700
ANIP,1068806
ANIX,301995
ANSS,6023466
ANTE,69488
ANTM,3876320
ANY,348992
AOBC,5959503
AOD,218170
AON,2549328
AOS,3792149
AOSL,666862
AP,19248
APA,21430042
APAM,818290
APD,2224774
APDN,973680
APEI,1080603
APEN,64192
APEX,71118
APH,2245361
APHA,5387181
APLE,3052383
APLS,7745352
APLT,1180175
APM,30713
APO,3642264
APO$A,5658
APO$B,8560
APOG,2276466
APOP,99443
APOPW,7548
APPF,1033772
APPN,3634665
APPS,13308543
APRE,1502644
APRN,517270
APTO,7539237
APTS,433002
APTV,2841924
APTX,1250609
APVO,1325387
APWC,28751
APXT,47477
APXTU,45791
APXTW,34519
APY,1619688
APYX,536788
AQB,232133
AQMS,8575487
AQN,995949
AQNA,27269
AQNB,4647
AQST,8558260
AQUA,1110849
AR,24682297
ARA,255040
ARAV,1991496
ARAY,2164169
ARC,146492
ARCB,1712181
ARCC,8543545
ARCE,795537
ARCH,662006
ARCO,1031739
ARCT,538500
ARD,230509
ARDC,47483
ARDS,176346
ARDX,9343696
ARE,1742341
AREC,413782
ARES,704569
ARES$A,5124
ARGD,1328
ARGO,322972
ARGX,1134161
ARI,2026180
ARKR,9532
ARL,4116
ARLO,1522737
ARLP,3700402
ARMK,2665285
ARNA,3419979
ARNC,4645434
AROC,2082717
AROW,227729
ARPO,684558
ARQL,34454360
ARR,1031433
ARR$B,79960
ARTL,307698
ARTLW,18156
ARTNA,82943
ARTW,45753
ARTX,321767
ARVN,2985530
ARW,1056165
ARWR,25401966
ARYA,59829
ARYAU,500
ARYAW,24848
ASA,137214
ASB,2410876
ASB$C,134
ASB$D,1300
ASB$E,2752
ASC,319596
ASET,2556
ASFI,19753
ASG,107526
ASGN,571286
ASH,1719676
ASIX,319023
ASLN,10746832
ASMB,5062351
ASML,4097000
ASNA,10621733
ASND,1355874
ASPN,41077
ASPS,764588
ASPU,619444
ASR,192382
ASRT,16232515
ASRV,44711
ASRVP,4113
ASTC,189926
ASTE,1351578
ASUR,876031
ASX,814286
ASYS,238957
AT,232173
ATAX,494434
ATEC,2245990
ATEN,380548
ATEX,722392
ATGE,991102
ATH,3038994
ATH$A,75978
ATH$B,10789
ATHE,82155
ATHM,2212826
ATHX,3365406
ATI,2626384
ATIF,173294
ATKR,661849
ATLC,38360
ATLO,85758
ATNI,633258
ATNX,9939643
ATO,2480617
ATOM,229620
ATOS,255158
ATR,577458
ATRA,5245854
ATRC,1506610
ATRI,68849
ATRO,2494225
ATRS,7343333
ATSG,2317755
ATTO,54735
ATUS,9550981
ATV,2259
ATVI,35546630
ATXI,208014
AU,8920506
AUB,2230481
AUBN,29104
AUDC,1341373
AUPH,28194626
AUTL,1171052
AUTO,41393
AUY,24920112
AVA,521846
AVAL,298808
AVAV,1752227
AVB,1839636
AVCO,1087251
AVD,232170
AVDL,3423130
AVEO,5002736
AVGO,17866757
AVGOP,46936
AVGR,497254
AVH,197653
AVID,1222434
AVK,76795
AVLR,1590616
AVNS,612368
AVNW,61241
AVP,10106751
AVRO,1614139
AVT,6390804
AVTR,8551642
AVTR$A,11161
AVX,718447
AVXL,3846938
AVY,1472491
AVYA,7138116
AWF,183316
AWI,745503
AWK,2103503
AWP,387304
AWR,445386
AWRE,37258
AX,591705
AXAS,11734172
AXDX,1190904
AXE,1483394
AXGN,2583749
AXGT,1132858
AXL,3130883
AXLA,772119
AXNX,4082727
AXO,173
AXP,7899136
AXR,6928
AXS,1254411
AXS$D,12639
AXS$E,8963
AXSM,11695193
AXTA,4952044
AXTI,1063377
AY,1946533
AYI,879713
AYR,752703
AYTU,818903
AYX,4949634
AZN,7444508
AZO,739886
AZPN,2842857
AZRE,110730
